user_skills,user_experience,internship_field,internship_sector,internship_required_skills,is_selected,max_exp_gap,min_exp_gap,is_exp_in_range,csv_ref_id
"testng,java,automation,selenium",0,java specialized internships,Technology,"java,selenium,automation,testng",1,1,0,1,334
"automation,selenium,java,testng",1,java specialized internships,Technology,"java,selenium,automation,testng",1,0,1,1,335
"selenium,java,testng",0,java specialized internships,Technology,"java,selenium,automation,testng",1,1,0,1,336
"selenium,automation",0,java specialized internships,Technology,"java,selenium,automation,testng",0,1,0,1,337
"testng,automation,java,selenium",1,java specialized internships,Technology,"java,selenium,automation,testng",1,0,1,1,338
"java,testng,automation",1,java specialized internships,Technology,"java,selenium,automation,testng",0,0,1,1,339
"selenium,java,testng,automation",0,java specialized internships,Technology,"java,selenium,automation,testng",1,1,0,1,340
"sql,java",2,java specialized internships,Technology,"java,sql,spark,etl",1,-1,2,1,341
"java,spark",2,java specialized internships,Technology,"java,sql,spark,etl",0,-1,2,1,342
"spark,java",1,java specialized internships,Technology,"java,sql,spark,etl",0,0,1,1,343
"spark,sql",0,java specialized internships,Technology,"java,sql,spark,etl",0,1,0,1,344
"java,spark,etl,sql",2,java specialized internships,Technology,"java,sql,spark,etl",1,-1,2,1,345
"etl,java,sql,spark",1,java specialized internships,Technology,"java,sql,spark,etl",1,0,1,1,346
"java,sql,spark",1,java specialized internships,Technology,"java,sql,spark,etl",1,0,1,1,347
"spark,sql,java",0,java specialized internships,Technology,"java,sql,spark,etl",1,1,0,1,348
"sql,etl,spark,java",0,java specialized internships,Technology,"java,sql,spark,etl",1,1,0,1,349
"sql,etl,java,spark",2,java specialized internships,Technology,"java,sql,spark,etl",1,-1,2,1,350
"java,multithreading",2,java specialized internships,Technology,"java,multithreading,jvm,profiling",1,-1,2,1,351
"profiling,java,multithreading",0,java specialized internships,Technology,"java,multithreading,jvm,profiling",1,1,0,1,352
"java,multithreading,jvm,profiling",1,java specialized internships,Technology,"java,multithreading,jvm,profiling",1,0,1,1,353
"profiling,java,multithreading,jvm",2,java specialized internships,Technology,"java,multithreading,jvm,profiling",1,-1,2,1,354
"multithreading,jvm,java",1,java specialized internships,Technology,"java,multithreading,jvm,profiling",1,0,1,1,355
"java,multithreading,jvm,profiling",1,java specialized internships,Technology,"java,multithreading,jvm,profiling",1,0,1,1,356
"jvm,multithreading,java,profiling",1,java specialized internships,Technology,"java,multithreading,jvm,profiling",1,0,1,1,357
"profiling,java",1,java specialized internships,Technology,"java,multithreading,jvm,profiling",0,0,1,1,358
"multithreading,java,profiling,jvm",0,java specialized internships,Technology,"java,multithreading,jvm,profiling",1,1,0,1,359
"profiling,multithreading",2,java specialized internships,Technology,"java,multithreading,jvm,profiling",0,-1,2,1,360
"java,ci_cd,deployment,Docker",1,java specialized internships,Technology,"java,Docker,ci_cd,deployment",1,0,1,1,361
"java,ci_cd,deployment,Docker",1,java specialized internships,Technology,"java,Docker,ci_cd,deployment",1,0,1,1,362
"ci_cd,deployment,Docker,java",1,java specialized internships,Technology,"java,Docker,ci_cd,deployment",1,0,1,1,363
"Docker,java,deployment",2,java specialized internships,Technology,"java,Docker,ci_cd,deployment",1,-1,2,1,364
"deployment,Docker,java,ci_cd",0,java specialized internships,Technology,"java,Docker,ci_cd,deployment",1,1,0,1,365
"java,Docker,deployment",0,java specialized internships,Technology,"java,Docker,ci_cd,deployment",1,1,0,1,366
"deployment,ci_cd",0,java specialized internships,Technology,"java,Docker,ci_cd,deployment",0,1,0,1,367
"java,ci_cd,deployment,Docker",1,java specialized internships,Technology,"java,Docker,ci_cd,deployment",1,0,1,1,368
"java,Docker",0,java specialized internships,Technology,"java,Docker,ci_cd,deployment",1,1,0,1,369
"Docker,java,ci_cd,deployment",0,java specialized internships,Technology,"java,Docker,ci_cd,deployment",1,1,0,1,370
"performance,java,data_structures",0,java specialized internships,Technology,"java,data_structures,performance",1,1,0,1,371
"data_structures,java,performance",0,java specialized internships,Technology,"java,data_structures,performance",1,1,0,1,372
"java,performance,data_structures",0,java specialized internships,Technology,"java,data_structures,performance",1,1,0,1,373
"performance,java",2,java specialized internships,Technology,"java,data_structures,performance",0,-1,2,1,374
"java,data_structures,performance",1,java specialized internships,Technology,"java,data_structures,performance",1,0,1,1,375
"data_structures,java",1,java specialized internships,Technology,"java,data_structures,performance",1,0,1,1,376
"performance,data_structures,java",0,java specialized internships,Technology,"java,data_structures,performance",1,1,0,1,377
"java,performance,data_structures",0,java specialized internships,Technology,"java,data_structures,performance",1,1,0,1,378
"java,performance",1,java specialized internships,Technology,"java,data_structures,performance",0,0,1,1,379
"performance,java,data_structures",1,java specialized internships,Technology,"java,data_structures,performance",1,0,1,1,380
"java,analytics,reporting",1,java specialized internships,Technology,"java,sql,analytics,reporting",0,-1,1,1,381
"analytics,sql,reporting",1,java specialized internships,Technology,"java,sql,analytics,reporting",0,-1,1,1,382
"reporting,analytics,java,sql",0,java specialized internships,Technology,"java,sql,analytics,reporting",1,0,0,1,383
"analytics,sql,reporting,java",1,java specialized internships,Technology,"java,sql,analytics,reporting",1,-1,1,1,384
"reporting,sql,analytics",0,java specialized internships,Technology,"java,sql,analytics,reporting",0,0,0,1,385
"reporting,java",0,java specialized internships,Technology,"java,sql,analytics,reporting",0,0,0,1,386
"java,reporting,sql,analytics",1,java specialized internships,Technology,"java,sql,analytics,reporting",1,-1,1,1,387
"analytics,java,reporting",0,java specialized internships,Technology,"java,sql,analytics,reporting",0,0,0,1,388
"reporting,analytics",1,java specialized internships,Technology,"java,sql,analytics,reporting",0,-1,1,1,389
"analytics,reporting,java",1,java specialized internships,Technology,"java,sql,analytics,reporting",0,-1,1,1,390
"system_design,java",1,java specialized internships,Technology,"java,spring_boot,system_design",0,0,1,1,391
"spring_boot,java,system_design",2,java specialized internships,Technology,"java,spring_boot,system_design",1,-1,2,1,392
"system_design,java,spring_boot",1,java specialized internships,Technology,"java,spring_boot,system_design",1,0,1,1,393
"spring_boot,system_design,java",0,java specialized internships,Technology,"java,spring_boot,system_design",1,1,0,1,394
"system_design,spring_boot",0,java specialized internships,Technology,"java,spring_boot,system_design",0,1,0,1,395
"spring_boot,java,system_design",0,java specialized internships,Technology,"java,spring_boot,system_design",1,1,0,1,396
"spring_boot,java,system_design",2,java specialized internships,Technology,"java,spring_boot,system_design",1,-1,2,1,397
"system_design,spring_boot",2,java specialized internships,Technology,"java,spring_boot,system_design",0,-1,2,1,398
"spring_boot,java,system_design",0,java specialized internships,Technology,"java,spring_boot,system_design",1,1,0,1,399
"system_design,spring_boot",2,java specialized internships,Technology,"java,spring_boot,system_design",1,-1,2,1,400
