"id","csv_ref_id","internship_field","internship_required_skills","internship_sector","is_exp_in_range","max_exp_gap","min_exp_gap","selection_status","user_experience","user_skills"
150,150,"java backend development","java,hibernate,jpa,sql","Technology",1,1.0,0.0,1,0.0,"hibernate,java,jpa,sql"
151,151,"java backend development","java,spring_boot,pagination,filtering","Technology",1,0.0,1.0,1,1.0,"pagination,java,spring_boot"
152,152,"java backend development","java,spring_boot,pagination,filtering","Technology",1,1.0,0.0,0,0.0,"java,pagination"
153,153,"java backend development","java,spring_boot,pagination,filtering","Technology",1,0.0,1.0,1,1.0,"java,spring_boot,filtering,pagination"
154,154,"java backend development","java,spring_boot,pagination,filtering","Technology",1,0.0,1.0,0,1.0,"java,filtering"
155,155,"java backend development","java,spring_boot,pagination,filtering","Technology",1,0.0,1.0,1,1.0,"spring_boot,pagination,filtering,java"
156,156,"java backend development","java,spring_boot,pagination,filtering","Technology",1,0.0,1.0,1,1.0,"filtering,pagination,java,spring_boot"
157,157,"java backend development","java,spring_boot,pagination,filtering","Technology",1,0.0,1.0,1,1.0,"java,spring_boot,filtering"
158,158,"java backend development","java,spring_boot,pagination,filtering","Technology",1,0.0,1.0,1,1.0,"java,spring_boot"
159,159,"java backend development","java,spring_boot,pagination,filtering","Technology",1,1.0,0.0,1,0.0,"java,pagination"
160,160,"java backend development","java,spring_boot,pagination,filtering","Technology",1,0.0,1.0,1,1.0,"java,pagination"
161,161,"java backend development","java,sql,indexing,query_optimization","Technology",1,0.0,0.0,1,0.0,"java,query_optimization,indexing,sql"
162,162,"java backend development","java,sql,indexing,query_optimization","Technology",1,0.0,0.0,1,0.0,"indexing,java"
163,163,"java backend development","java,sql,indexing,query_optimization","Technology",1,0.0,0.0,1,0.0,"java,sql,indexing,query_optimization"
164,164,"java backend development","java,sql,indexing,query_optimization","Technology",1,0.0,0.0,1,0.0,"indexing,query_optimization,sql"
165,165,"java backend development","java,sql,indexing,query_optimization","Technology",1,0.0,0.0,1,0.0,"sql,indexing,java,query_optimization"
166,166,"java backend development","java,sql,indexing,query_optimization","Technology",1,0.0,0.0,1,0.0,"query_optimization,indexing,java,sql"
167,167,"java backend development","java,sql,indexing,query_optimization","Technology",1,0.0,0.0,1,0.0,"java,sql"
168,168,"java backend development","java,sql,indexing,query_optimization","Technology",1,0.0,0.0,1,0.0,"java,sql,query_optimization"
169,169,"java backend development","java,sql,indexing,query_optimization","Technology",1,0.0,0.0,1,0.0,"indexing,query_optimization,sql,java"
170,170,"java backend development","java,sql,indexing,query_optimization","Technology",1,0.0,0.0,1,0.0,"sql,java,indexing,query_optimization"
171,171,"java backend development","java,spring_boot,exception_handling","Technology",1,0.0,0.0,0,0.0,"java,exception_handling,spring_boot"
172,172,"java backend development","java,spring_boot,exception_handling","Technology",1,0.0,0.0,1,0.0,"exception_handling,java,spring_boot"
173,173,"java backend development","java,spring_boot,exception_handling","Technology",1,0.0,0.0,1,0.0,"exception_handling,spring_boot"
174,174,"java backend development","java,spring_boot,exception_handling","Technology",1,0.0,0.0,0,0.0,"exception_handling,java,spring_boot"
175,175,"java backend development","java,spring_boot,exception_handling","Technology",1,0.0,0.0,1,0.0,"java,spring_boot"
176,176,"java backend development","java,spring_boot,exception_handling","Technology",1,0.0,0.0,1,0.0,"exception_handling,java,spring_boot"
177,177,"java backend development","java,spring_boot,exception_handling","Technology",1,0.0,0.0,1,0.0,"spring_boot,java,exception_handling"
178,178,"java backend development","java,spring_boot,exception_handling","Technology",1,0.0,0.0,1,0.0,"java,spring_boot"
179,179,"java backend development","java,spring_boot,exception_handling","Technology",1,0.0,0.0,1,0.0,"exception_handling,java,spring_boot"
180,180,"java backend development","java,spring_boot,exception_handling","Technology",1,0.0,0.0,1,0.0,"spring_boot,exception_handling,java"
181,181,"java backend development","java,spring_boot,security,jwt","Technology",1,0.0,1.0,1,1.0,"java,jwt,security,spring_boot"
182,182,"java backend development","java,spring_boot,security,jwt","Technology",1,0.0,1.0,1,1.0,"spring_boot,security,jwt"
183,183,"java backend development","java,spring_boot,security,jwt","Technology",1,1.0,0.0,0,0.0,"spring_boot,jwt"
184,184,"java backend development","java,spring_boot,security,jwt","Technology",1,0.0,1.0,0,1.0,"java,jwt"
185,185,"java backend development","java,spring_boot,security,jwt","Technology",1,1.0,0.0,1,0.0,"java,jwt,security"
186,186,"java backend development","java,spring_boot,security,jwt","Technology",1,0.0,1.0,0,1.0,"security,spring_boot"
187,187,"java backend development","java,spring_boot,security,jwt","Technology",1,1.0,0.0,1,0.0,"security,java,jwt,spring_boot"
188,188,"java backend development","java,spring_boot,security,jwt","Technology",1,1.0,0.0,1,0.0,"spring_boot,jwt,java,security"
189,189,"java backend development","java,spring_boot,security,jwt","Technology",1,1.0,0.0,0,0.0,"spring_boot,java,jwt"
190,190,"java backend development","java,spring_boot,security,jwt","Technology",1,0.0,1.0,0,1.0,"java,security"
191,191,"java backend development","java,rest_api,microservices,sql","Technology",1,1.0,0.0,1,0.0,"microservices,java,sql,rest_api"
192,192,"java backend development","java,rest_api,microservices,sql","Technology",1,0.0,1.0,1,1.0,"sql,rest_api"
193,193,"java backend development","java,rest_api,microservices,sql","Technology",1,1.0,0.0,1,0.0,"java,microservices,sql,rest_api"
194,194,"java backend development","java,rest_api,microservices,sql","Technology",1,1.0,0.0,0,0.0,"sql,rest_api,microservices"
195,195,"java backend development","java,rest_api,microservices,sql","Technology",1,0.0,1.0,0,1.0,"java,microservices"
196,196,"java backend development","java,rest_api,microservices,sql","Technology",1,0.0,1.0,1,1.0,"microservices,java,rest_api,sql"
197,197,"java backend development","java,rest_api,microservices,sql","Technology",1,0.0,1.0,1,1.0,"rest_api,java,sql"
198,198,"java backend development","java,rest_api,microservices,sql","Technology",1,1.0,0.0,1,0.0,"rest_api,sql"
199,199,"java backend development","java,rest_api,microservices,sql","Technology",1,1.0,0.0,1,0.0,"microservices,java,rest_api"
200,200,"java backend development","java,rest_api,microservices,sql","Technology",1,0.0,1.0,0,1.0,"rest_api,microservices,sql"
