user_skills,user_experience,internship_field,internship_sector,internship_required_skills,is_selected,max_exp_gap,min_exp_gap,is_exp_in_range,csv_ref_id
"html,css,javascript,sql",0,java full stack development,Technology,"java,html,css,javascript,sql",0,0,0,1,243
"java,sql",0,java full stack development,Technology,"java,html,css,javascript,sql",1,0,0,1,244
"java,css,sql,html,javascript",0,java full stack development,Technology,"java,html,css,javascript,sql",1,0,0,1,245
"html,javascript,java",0,java full stack development,Technology,"java,html,css,javascript,sql",1,0,0,1,246
"sql,javascript,java,css,html",0,java full stack development,Technology,"java,html,css,javascript,sql",1,0,0,1,247
"java,javascript,sql,css",0,java full stack development,Technology,"java,html,css,javascript,sql",0,0,0,1,248
"java,sql",0,java full stack development,Technology,"java,html,css,javascript,sql",1,0,0,1,249
"javascript,html,java",0,java full stack development,Technology,"java,html,css,javascript,sql",0,0,0,1,250
"java,spring_boot",0,java full stack development,Technology,"java,spring_boot,angular,rest_api",1,1,0,1,251
"spring_boot,rest_api,angular",0,java full stack development,Technology,"java,spring_boot,angular,rest_api",1,1,0,1,252
"rest_api,spring_boot,java,angular",0,java full stack development,Technology,"java,spring_boot,angular,rest_api",1,1,0,1,253
"rest_api,spring_boot",0,java full stack development,Technology,"java,spring_boot,angular,rest_api",0,1,0,1,254
"angular,java",1,java full stack development,Technology,"java,spring_boot,angular,rest_api",1,0,1,1,255
"spring_boot,java,rest_api,angular",0,java full stack development,Technology,"java,spring_boot,angular,rest_api",1,1,0,1,256
"rest_api,angular,spring_boot,java",0,java full stack development,Technology,"java,spring_boot,angular,rest_api",1,1,0,1,257
"spring_boot,java",0,java full stack development,Technology,"java,spring_boot,angular,rest_api",1,1,0,1,258
"angular,spring_boot,rest_api,java",1,java full stack development,Technology,"java,spring_boot,angular,rest_api",1,0,1,1,259
"angular,rest_api",1,java full stack development,Technology,"java,spring_boot,angular,rest_api",1,0,1,1,260
"design_patterns,jdbc",1,java full stack development,Technology,"java,jdbc,xml,design_patterns",1,0,1,1,261
"java,xml",1,java full stack development,Technology,"java,jdbc,xml,design_patterns",0,0,1,1,262
"xml,java,jdbc,design_patterns",1,java full stack development,Technology,"java,jdbc,xml,design_patterns",1,0,1,1,263
"xml,jdbc,java",0,java full stack development,Technology,"java,jdbc,xml,design_patterns",1,1,0,1,264
"jdbc,java,xml",0,java full stack development,Technology,"java,jdbc,xml,design_patterns",1,1,0,1,265
"jdbc,java",0,java full stack development,Technology,"java,jdbc,xml,design_patterns",1,1,0,1,266
"design_patterns,xml,jdbc",1,java full stack development,Technology,"java,jdbc,xml,design_patterns",0,0,1,1,267
"jdbc,java,design_patterns,xml",0,java full stack development,Technology,"java,jdbc,xml,design_patterns",0,1,0,1,268
"java,design_patterns,jdbc",1,java full stack development,Technology,"java,jdbc,xml,design_patterns",1,0,1,1,269
"design_patterns,java",1,java full stack development,Technology,"java,jdbc,xml,design_patterns",0,0,1,1,270
"spring_core,sql",0,java full stack development,Technology,"java,spring_core,oop,sql",1,0,0,1,271
"spring_core,oop,java,sql",0,java full stack development,Technology,"java,spring_core,oop,sql",1,0,0,1,272
"oop,sql,spring_core,java",0,java full stack development,Technology,"java,spring_core,oop,sql",1,0,0,1,273
"spring_core,oop",0,java full stack development,Technology,"java,spring_core,oop,sql",0,0,0,1,274
"oop,java,sql,spring_core",0,java full stack development,Technology,"java,spring_core,oop,sql",0,0,0,1,275
"oop,java,spring_core,sql",0,java full stack development,Technology,"java,spring_core,oop,sql",1,0,0,1,276
"java,oop",0,java full stack development,Technology,"java,spring_core,oop,sql",1,0,0,1,277
"spring_core,oop",0,java full stack development,Technology,"java,spring_core,oop,sql",0,0,0,1,278
"oop,java,spring_core,sql",0,java full stack development,Technology,"java,spring_core,oop,sql",1,0,0,1,279
"java,spring_core",0,java full stack development,Technology,"java,spring_core,oop,sql",0,0,0,1,280
"spring,html",0,java full stack development,Technology,"java,spring,html,css",0,1,0,1,281
"html,css,java,spring",0,java full stack development,Technology,"java,spring,html,css",1,1,0,1,282
"html,css",1,java full stack development,Technology,"java,spring,html,css",0,0,1,1,283
"java,html",1,java full stack development,Technology,"java,spring,html,css",0,0,1,1,284
"java,html,spring,css",0,java full stack development,Technology,"java,spring,html,css",1,1,0,1,285
"java,spring,html,css",1,java full stack development,Technology,"java,spring,html,css",1,0,1,1,286
"java,spring",0,java full stack development,Technology,"java,spring,html,css",0,1,0,1,287
"java,css,html,spring",1,java full stack development,Technology,"java,spring,html,css",1,0,1,1,288
"spring,css,java",1,java full stack development,Technology,"java,spring,html,css",1,0,1,1,289
"spring,css,html,java",0,java full stack development,Technology,"java,spring,html,css",1,1,0,1,290
"java,servlets,sql",0,java full stack development,Technology,"java,jsp,servlets,sql",0,1,0,1,291
"java,sql,jsp,servlets",0,java full stack development,Technology,"java,jsp,servlets,sql",0,1,0,1,292
"sql,servlets,jsp,java",1,java full stack development,Technology,"java,jsp,servlets,sql",0,0,1,1,293
"jsp,sql,java",0,java full stack development,Technology,"java,jsp,servlets,sql",1,1,0,1,294
"java,jsp,sql,servlets",1,java full stack development,Technology,"java,jsp,servlets,sql",1,0,1,1,295
"java,jsp",0,java full stack development,Technology,"java,jsp,servlets,sql",1,1,0,1,296
"jsp,servlets",1,java full stack development,Technology,"java,jsp,servlets,sql",0,0,1,1,297
"sql,java",0,java full stack development,Technology,"java,jsp,servlets,sql",0,1,0,1,298
"java,servlets,jsp",1,java full stack development,Technology,"java,jsp,servlets,sql",0,0,1,1,299
"java,servlets",1,java full stack development,Technology,"java,jsp,servlets,sql",0,0,1,1,300
