user_skills,user_experience,internship_field,internship_sector,internship_required_skills,is_selected,max_exp_gap,min_exp_gap,is_exp_in_range,csv_ref_id
"node,github,backend,js,git,html",2,front end development,Technology,"css,backend,frontend,git,github,html,js,node",1,-1,2,1,21
"backend,git,js,css,frontend,html,node",0,front end development,Technology,"css,backend,frontend,git,github,html,js,node",1,1,0,1,22
"frontend,html,node,js,css,backend",0,front end development,Technology,"css,backend,frontend,git,github,html,js,node",1,1,0,1,23
"git,html,css,node,backend,frontend",2,front end development,Technology,"css,backend,frontend,git,github,html,js,node",1,-1,2,1,24
"backend,github,css,node,js,frontend,git,html",0,front end development,Technology,"css,backend,frontend,git,github,html,js,node",1,1,0,1,25
"git,backend,github,js,html,frontend",2,front end development,Technology,"css,backend,frontend,git,github,html,js,node",0,-1,2,1,26
"git,css,html,node,js,backend,github",2,front end development,Technology,"css,backend,frontend,git,github,html,js,node",1,-1,2,1,27
"frontend,html,node,git,js",2,front end development,Technology,"css,backend,frontend,git,github,html,js,node",1,-1,2,1,28
"frontend,js,node,html",0,front end development,Technology,"css,backend,frontend,git,github,html,js,node",1,1,0,1,29
"html,css,github,js,node,git",2,front end development,Technology,"css,backend,frontend,git,github,html,js,node",1,-1,2,1,30
"js,css,frontend",1,front end development,Technology,"html,css,js,frontend,mysql",1,1,0,1,31
"css,mysql,js,html,frontend",2,front end development,Technology,"html,css,js,frontend,mysql",1,0,1,1,32
"frontend,js,mysql,html",1,front end development,Technology,"html,css,js,frontend,mysql",1,1,0,1,33
"frontend,mysql",2,front end development,Technology,"html,css,js,frontend,mysql",0,0,1,1,34
"html,js,css,frontend,mysql",1,front end development,Technology,"html,css,js,frontend,mysql",1,1,0,1,35
"mysql,js,html",3,front end development,Technology,"html,css,js,frontend,mysql",1,-1,2,1,36
"mysql,frontend,css,js,html",2,front end development,Technology,"html,css,js,frontend,mysql",1,0,1,1,37
"js,html,frontend",1,front end development,Technology,"html,css,js,frontend,mysql",1,1,0,1,38
"html,css,mysql,js,frontend",3,front end development,Technology,"html,css,js,frontend,mysql",1,-1,2,1,39
"frontend,html",3,front end development,Technology,"html,css,js,frontend,mysql",0,-1,2,1,40
"angular,html,react",4,front end development,Technology,"html,css,js,react,vue,angular,git,github",0,0,4,1,41
"react,vue,html",4,front end development,Technology,"html,css,js,react,vue,angular,git,github",0,0,4,1,42
"css,angular,git,vue,github",5,front end development,Technology,"html,css,js,react,vue,angular,git,github",0,-1,5,1,43
"github,git,html,js",0,front end development,Technology,"html,css,js,react,vue,angular,git,github",1,4,0,1,44
"angular,github,react,js,git,vue,css,html",4,front end development,Technology,"html,css,js,react,vue,angular,git,github",1,0,4,1,45
"git,github",3,front end development,Technology,"html,css,js,react,vue,angular,git,github",1,1,3,1,46
"react,git,html,js,angular",2,front end development,Technology,"html,css,js,react,vue,angular,git,github",1,2,2,1,47
"html,git",0,front end development,Technology,"html,css,js,react,vue,angular,git,github",0,4,0,1,48
"vue,css,angular,github,html",2,front end development,Technology,"html,css,js,react,vue,angular,git,github",0,2,2,1,49
"css,github,html,vue,angular,git",4,front end development,Technology,"html,css,js,react,vue,angular,git,github",0,0,4,1,50
"css,html",1,front end development,Technology,"html,css,js,figma,ui/ux",1,0,1,1,51
"html,ui/ux,css,figma,js",1,front end development,Technology,"html,css,js,figma,ui/ux",1,0,1,1,52
"ui/ux,html,js",2,front end development,Technology,"html,css,js,figma,ui/ux",0,-1,2,1,53
"figma,css,ui/ux",2,front end development,Technology,"html,css,js,figma,ui/ux",0,-1,2,1,54
"js,ui/ux,html,figma",1,front end development,Technology,"html,css,js,figma,ui/ux",1,0,1,1,55
"css,js",0,front end development,Technology,"html,css,js,figma,ui/ux",1,1,0,1,56
"js,ui/ux",2,front end development,Technology,"html,css,js,figma,ui/ux",0,-1,2,1,57
"ui/ux,css,js",1,front end development,Technology,"html,css,js,figma,ui/ux",1,0,1,1,58
"ui/ux,html,figma,css",2,front end development,Technology,"html,css,js,figma,ui/ux",1,-1,2,1,59
"ui/ux,html,figma,css",2,front end development,Technology,"html,css,js,figma,ui/ux",1,-1,2,1,60
"js,css,react",1,front end development,Technology,"css,typescript,js,html,react",1,1,1,1,61
"css,react",2,front end development,Technology,"css,typescript,js,html,react",1,0,2,1,62
"typescript,html,react,css",1,front end development,Technology,"css,typescript,js,html,react",1,1,1,1,63
"typescript,js",3,front end development,Technology,"css,typescript,js,html,react",0,-1,3,1,64
"typescript,html,react",0,front end development,Technology,"css,typescript,js,html,react",1,2,0,1,65
"js,typescript,react",2,front end development,Technology,"css,typescript,js,html,react",0,0,2,1,66
"js,css,html,typescript",0,front end development,Technology,"css,typescript,js,html,react",1,2,0,1,67
"react,css,js,typescript",0,front end development,Technology,"css,typescript,js,html,react",1,2,0,1,68
"typescript,html,css",2,front end development,Technology,"css,typescript,js,html,react",0,0,2,1,69
"react,typescript",2,front end development,Technology,"css,typescript,js,html,react",0,0,2,1,70
"css,html,js,php,react,next,jquery",0,front end development,Technology,"html,css,js,jquery,php,react,next",1,5,-2,0,71
"js,php,css,react",4,front end development,Technology,"html,css,js,jquery,php,react,next",1,1,2,1,72
"next,js,php,react",2,front end development,Technology,"html,css,js,jquery,php,react,next",0,3,0,1,73
"html,php,css,js,react,jquery",5,front end development,Technology,"html,css,js,jquery,php,react,next",1,0,3,1,74
"css,react,html",6,front end development,Technology,"html,css,js,jquery,php,react,next",1,-1,4,1,75
"react,css",1,front end development,Technology,"html,css,js,jquery,php,react,next",1,4,-1,1,76
"jquery,js,html,react,next",0,front end development,Technology,"html,css,js,jquery,php,react,next",1,5,-2,0,77
"next,css,js,html,jquery,react",4,front end development,Technology,"html,css,js,jquery,php,react,next",1,1,2,1,78
"react,html,css",4,front end development,Technology,"html,css,js,jquery,php,react,next",1,1,2,1,79
"next,html,jquery,react,css,js,php",0,front end development,Technology,"html,css,js,jquery,php,react,next",1,5,-2,0,80
"responsive web design,react",2,front end development,Technology,"html,css,js,react,responsive web design,angular",0,0,2,1,81
"angular,css,react",2,front end development,Technology,"html,css,js,react,responsive web design,angular",0,0,2,1,82
"responsive web design,js,css,angular",0,front end development,Technology,"html,css,js,react,responsive web design,angular",1,2,0,1,83
"responsive web design,react,js",3,front end development,Technology,"html,css,js,react,responsive web design,angular",1,-1,3,1,84
"js,angular,responsive web design,html,react,css",3,front end development,Technology,"html,css,js,react,responsive web design,angular",1,-1,3,1,85
"js,html,angular,react,css",3,front end development,Technology,"html,css,js,react,responsive web design,angular",1,-1,3,1,86
"angular,css",2,front end development,Technology,"html,css,js,react,responsive web design,angular",0,0,2,1,87
"js,html,react,angular,css,responsive web design",2,front end development,Technology,"html,css,js,react,responsive web design,angular",1,0,2,1,88
"responsive web design,html,css,angular,react,js",0,front end development,Technology,"html,css,js,react,responsive web design,angular",1,2,0,1,89
"js,responsive web design,css,html,react,angular",3,front end development,Technology,"html,css,js,react,responsive web design,angular",1,-1,3,1,90
"react,html,css,js,lovable",6,front end development,Technology,"lovable,html,css,js,react",1,0,5,1,91
"html,css,js,lovable",4,front end development,Technology,"lovable,html,css,js,react",1,2,3,1,92
"js,css,html,react,lovable",1,front end development,Technology,"lovable,html,css,js,react",1,5,0,1,93
"lovable,js,css",4,front end development,Technology,"lovable,html,css,js,react",1,2,3,1,94
"react,css,js,lovable",6,front end development,Technology,"lovable,html,css,js,react",1,0,5,1,95
"lovable,react,js",2,front end development,Technology,"lovable,html,css,js,react",1,4,1,1,96
"lovable,react,html",7,front end development,Technology,"lovable,html,css,js,react",1,-1,6,1,97
"lovable,js,css,react,html",3,front end development,Technology,"lovable,html,css,js,react",1,3,2,1,98
"html,react",5,front end development,Technology,"lovable,html,css,js,react",0,1,4,1,99
"css,js,react",2,front end development,Technology,"lovable,html,css,js,react",1,4,1,1,100
